name,type,location,address,open_time
鸿坤广场,商场,"116.342529,39.791282",西红门欣旺北大街8号,
北京华联BHG Mall(同成街店),商场,"116.337566,40.072030",育知东路30号(回龙观地铁站A2口步行130米),
万优汇,商场,"116.415150,40.057050",立汤路188号,
北京房山印象城,商场,"116.210657,39.753520",长阳镇广阳新路9号院1号楼,
京东MALL(北京双井店),商场,"116.474443,39.894074",广渠路31号,
新世界百货(顺义店),商场,"116.652057,40.126556",新顺南大街18号,
国泰百货(天通苑店),商场,"116.435660,40.073184",东小口镇天通苑东苑东三区2号楼,
路劲世界广场,商场,"116.291906,40.206866",双营西路78号院2号楼B1至4层,
翠微百货(大成路店),商场,"116.265267,39.888439",大成路8号,
银河SOHO购物中心,商场,"116.433185,39.920630",南竹杆胡同2号(朝阳门地铁站G东南口步行420米),
北京沙河万达广场,商场,"116.314460,40.108027",乐业路10号院1号楼,
北京通州领展广场,商场,"116.658701,39.889063",梨园镇九棵树中街9号(九棵树地铁站出入口步行100米),
时代LIFE购物中心,商场,"116.435304,39.865464",蒲芳路芳星园二区6号楼(方庄地铁站A西北口步行350米),
汇琴购物中心,商场,"116.423446,39.843263",石榴庄街道榴乡路86号,
朝悦百惠购物中心,商场,"116.535643,39.868282",王四营桥东京哈高速路南,
上品+(奥运村店),商场,"116.417016,40.031715",奥运村街道北苑路甲13号院1号楼北辰泰岳大厦,
合景摩方购物中心,商场,"116.417628,39.899696",崇文门外大街1号(崇文门地铁站H西南口旁),
财富购物中心,商场,"116.458856,39.917433",东三环中路7号(金台夕照地铁站A西北口步行490米),
中关村科贸电子城,商场,"116.317651,39.983410",中关村大街18号中关村科技贸易中心,
北京坊,商场,"116.396059,39.897948",前门廊房头条21号院(前门地铁站C西南口步行240米),
新世界百货(大望路店),商场,"116.472563,39.909289",建国路93号院万达广场A座,
3·3大厦,商场,"116.454770,39.936839",三里屯路33号,
王府井奥莱UP TOWN,商场,"116.421789,39.818594",久敬庄路与德贤路辅路交叉口西南300米,
京东MALL(北京南三环店),商场,"116.401579,39.853172",南苑路6号院1号楼(海户屯地铁站B1东北口步行60米),
丰台大悦春风里,商场,"116.364660,39.810084",新宫地铁站D口直达,
中海大吉巷,商场,"116.376405,39.887826",骡马市大街20号院,
NTP新城广场,商场,"116.422033,39.867970",蒲黄榆方庄小区方古园一区18号楼,
翠微百货(牡丹园店),商场,"116.367104,39.977451",北土城西路151号(牡丹园地铁站A西北口步行140米),
三里屯太古里北区,商场,"116.454490,39.938193",三里屯路11号,
华腾新天地商场,商场,"116.488203,39.885527",东四环中路195号,
绿地缤纷城,商场,"116.333152,39.764700",高米店街道金星西路3号(高米店南地铁站B2东北口步行170米),
翠微百货(龙德广场店),商场,"116.415466,40.060411",立汤路186号,
久隆生活广场,商场,"116.494903,39.961618",酒仙桥路39号,
力宝广场,商场,"116.501934,39.805465",亦庄镇荣华中路8号院,
燕莎友谊商城,商场,"116.463019,39.948858",亮马桥路52号,
万达广场(北京乐多港店),商场,"116.190168,40.229903",城南街道南口路29号,
国泰生活广场(机场店),商场,"116.602821,40.046437",南平街甲1号,
翠微百货,商场,"116.304179,39.908266",复兴路33号,
中关村大融城(西区),商场,"116.312173,39.981533",中关村大街15-11号,
首开·福茂,商场,"116.427191,39.846412",宋家庄顺八条8号院三区3号楼(宋家庄地铁站),
北京城建·城悦荟,商场,"116.421286,40.042760",北苑家园秋实街1号,
卧龙悦购时代广场,商场,"116.639271,40.135190",顺白路79号,
玖耀里西区,商场,"116.282033,40.146548",路松街75号,
暖山生活,商场,"116.415407,40.031967",红军营南路36号(北苑路北地铁站A2西北口步行490米),
